Date,Spills,Laser on?,Laser intensity,Laser rate (kHz),Radio. Src?,Src position,VBias,Channels,Operating Mode,Threshold,Offset1,Gain1,Gain2,Notes,,,gluk4as
20260610-160356,10,Y,8.5,10,N,,30,17 19,4 4,20 20,2 2,0 0 ,0 0,,,,
20260610-163533,100,Y,5.2,50,N,,30,17 19,4 4,20 20,2 2,0 0 ,0 0,,,,
20260610-170718,100,Y,15.25,50,N,,30,17 19,4 4,20 20,2 2,0 0 ,0 0,,,,
20260610-171026,100,Y,15.25,50,N,,30,17 19,1,20 20,2 2,0 0 ,0 0,used for tdc calibration,,,
20260610-171245,100,Y,15.25,50,N,,30,17 19,1 1,20 20,2 2,0 0 ,0 0,Laser intensity scan on SiPM,,,
20260610-171734,100,Y,6.5,50,N,,30,17 19,4 4,20 20,2 2,0 0 ,0 0,"""""",,,
20260610-171954,100,Y,7.5,50,N,,30,17 19,4 4,20 20,2 2,0 0 ,0 0,"""""",,,
20260610-172308,100,Y,8.5,50,N,,30,17 19,4 4,20 20,2 2,0 0 ,0 0,"""""",,,
20260610-172539,100,Y,9.5,50,N,,30,17 19,4 4,20 20,2 2,0 0 ,0 0,"""""",,,
20260610-172720,100,Y,10.5,50,N,,30,17 19,4 4,20 20,2 2,0 0 ,0 0,"""""",,,
20260610-172959,100,Y,11.5,50,N,,30,17 19,4 4,20 20,2 2,0 0 ,0 0,"""""",,,
20260610-173149,100,Y,12.5,50,N,,30,17 19,4 4,20 20,2 2,0 0 ,0 0,"""""",,,
20260610-173320,100,Y,13.5,50,N,,30,17 19,4 4,20 20,2 2,0 0 ,0 0,"""""",,,
20260610-173547,100,Y,14.5,50,N,,30,17 19,4 4,20 20,2 2,0 0 ,0 0,"""""",,,
20260611-145555,500,N,,,N,,30.1,17 19,4 4,30 30,2 2,0 0 ,0 0,SciFi calibration (no radio. src),,,
20260611-152621,500,N,,,Y,Near 3rd SiPM,30.1,17 19,4 4,30 30,2 2,0 0 ,0 0,"SciFi calibration (with radio. src, closer to 3rd SiPM)",,,
20260611-154505,500,N,,,N,middle (no source),30.1,17 19,4 4,30 30,2 2,0 0 ,0 0,SciFi calibration (no radio. src),,,
20260611-155006,500,N,,,Y,middle,30.1,17 19,4 4,30 30,2 2,0 0 ,0 0,"SciFi calibration (with radio. src, closer to middle of SciFi)",,,
20260611-155737,500,N,,,N,Near 4th SiPM (no src),30.1,17 19,4 4,30 30,2 2,0 0 ,0 0,"SciFi calibration (no radio. src, close to front of box)",,,
20260611-160407,500,N,,,Y,Near 4th SiPM,30.1,17 19,4 4,30 30,2 2,0 0 ,0 0,"SciFi calibration (with radio. src, close to front of box)",,,
20260611-161045,5000,N,0,0,Y,Near 4th SiPM,30.1,17 19,4 4,30 30,2 2,0 0 ,0 0,"SciFi data (with radio. src, close to front of box)",,,
20260611-172932,5000,N,0,0,Y,middle,30.1,17 19,4 4,30 30,2 2,0 0 ,0 0,"SciFi data (with radio. src, middle of scifi)",,,
20260611-181839,5000,N,0,0,Y,Near 3rd SiPM,30.1,17 19,4 4,30 30,2 2,0 0 ,0 0,"SciFi data (with radio. src, middle of scifi)",,,
20260615-112139,5000,Y,14.5,10,N,,30.1,17 19 22,4 4 4,30 30 32,2 2 0,0 0 2,0 0 0,Laser with laser trigger on channel 22,Used for time walk calibration,,
20260616-091554,5000,Y,14.5->5.5,10,N,,30.1,17 19 22,4 4 4,30 30 32,2 2 0,0 0 2,0 0 0,Laser with trigger on channel 22,"Using for time walk calibration at multiple laser intensities. Scanned through 14.5->5.5 intensities, each for 3 minutes",,
20260616-100123,2000,Y,5.5,10,N,,30.1,17 19 22,4 4 4,30 30 32,2 2 0,0 0 2,0 0 0,Laser with trigger on channel 22,Using for time walk calibration. Single laser intensity for each run. Scanning through 5.5->13.5 with increments of 2. Waiting 15min between runs to wait for laser to stabilize,,
20260616-103238,2000,Y,7.5,10,N,,30.1,17 19 22,4 4 4,30 30 32,2 2 0,0 0 2,0 0 0,"""""",,,
20260616-110415,2000,Y,9.5,10,N,,30.1,17 19 22,4 4 4,30 30 32,2 2 0,0 0 2,0 0 0,"""""",,,
20260616-122729,2000,Y,11.5,10,N,,30.1,17 19 22,4 4 4,30 30 32,2 2 0,0 0 2,0 0 0,"""""",,,
20260616-140420,2000,Y,13.5,10,N,,30.1,17 19 22,4 4 4,30 30 32,2 2 0,0 0 2,0 0 0,"""""",,,
20260616-144133,500,Y,13.5,10,N,,30.1,17 19 22 23,1 1 1 1,30 30 20 25,2 2 0 3,0 0 2 0,0 0 0,"""""",,,
